name,num,images,description,website
金沢浴場（休業中）,33,"[""https://www.1010.or.jp/map/wp-content/uploads/import/eyecatch_0_2507-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import/eyecatch_1_2508-500x375.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import/eyecatch_2_2509-348x500.jpg""]",※2026年5月末まで、改修工事のため休業中です。井戸水を熱めに沸かした銭湯で、とてもよく温まると評判です。最新の銭湯情報はこちら,https://kanazawayu.com/
三の輪湯,34,"[""https://www.1010.or.jp/map/wp-content/uploads/import/eyecatch_0_2556-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import/eyecatch_1_2557-500x375.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import/eyecatch_2_2558-344x500.jpg""]",いつも清潔、ミスト風呂が人気。日曜はハーブ湯を実施しています。浴槽設備の種類が豊富で、大きなテレビとBGMがリラックス感を後押ししてくれる銭湯です。WEB1010の紹介記事はこちら。最新の銭湯情報はこちら,http://1010yuge-g.jp/
渋谷笹塚温泉 栄湯,35,"[""https://www.1010.or.jp/map/wp-content/uploads/2015/03/1-cid_inlineImage0-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/2015/03/3-cid_inlineImage1-300x225.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/2015/03/2-cid_inlineImage2-300x225.jpg""]",2014年7月31日リニューアルオープン。お湯は天然温泉です。ジェットが強力。日替わりの薬湯を実施。銭湯ランナー歓迎（荷物の一時預かり可能）。最新の銭湯情報はこちら,http://sasazukasakaeyu.com/
アクア東中野,36,"[""https://www.1010.or.jp/map/wp-content/uploads/2015/03/78c9e1f7ee4a3f134e175fffa9c6ff51-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_4979-350x242.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_4980-350x244.jpg""]",2010年11月に全面リニューアル。全て軟水、高濃度の人工炭酸泉、パワフルジェットバス完備。サウナも13人ほどが入れる大型。日替わりの薬湯を実施。男女湯ともにミニプールがあり、さらに女湯にはミルク風呂、男湯には50型テレビがあります。浴槽設備の種類が豊富です。銭湯ランナー歓迎(荷物の一時預かり可能)。WEB1010の紹介記事（マンガ）はこちら。WEB1010の紹介記事はこちら。最新の銭湯情報はこちら,https://www.aqua-higashinakano1010.com/
月の湯,37,"[""https://www.1010.or.jp/map/wp-content/uploads/2015/03/4eb4d79c01ef1b55facb6381fcfa91b7-250x170.jpg""]",ジェットが強力な熱めのお湯が自慢。乾式サウナは低温です。正月2日のみ8:00～13:00の朝湯を実施。清潔としっかりした挨拶を心がける昔ながらの銭湯です。最新の銭湯情報はこちら,https://www.city.tokyo-nakano.lg.jp/kusei/public/kuhou/2022/kuhou0205.files/230205_all.pdf
弁天湯,38,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_5039-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_5040-350x239.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_5041-350x240.jpg""]",ロビーにイラストレーターのイラスト、銭湯書家による作品を展示中。毎週木曜日は入浴剤「温泉源」を使用、毎週日曜日は各種薬湯を実施。質のよい井戸水を沸かしたお風呂です。BGMの流れる広いロビーでおくつろぎください。銭湯ランナー歓迎、荷物の一時預かり可能です。WEB1010の紹介記事はこちら。紹介エッセイはこちら。インドアビューはこちら。最新の銭湯情報はこちら,https://suginami1010.com/benten-yu/
桜湯,39,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_5103-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_5104-263x350.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_5105-350x263.jpg""]",水曜は週替わりでハーバルバスを実施しています。ペンキ絵のある清潔でマイナスイオンたっぷりの大きな浴槽。熱めのお湯が自慢で挨拶はしっかり、を心がけています。サウナは男湯のみ。インドアビューはこちら。WEB1010の紹介記事（マンガ）はこちら。最新の銭湯情報はこちら,https://suginami1010.com/sakurayu/
湯の楽代田橋温泉,40,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_5169-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_5170-350x263.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_2_5171-350x263.jpg""]",甲州街道沿いの分かりやすい場所にあります。２つの浴室を毎日男女入れ替えて、異なる設備を楽しんでもらえます。「かぐらの湯」は日替わり薬湯、塩サウナなど、「いずみの湯」は露天風呂、高温サウナなどがあります。インドアビューはこちら。最新の銭湯情報はこちら,https://suginami1010.com/yunoraku/
金春湯,41,"[""https://www.1010.or.jp/map/wp-content/uploads/2015/03/TOP_20151213_161354_HDR-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/2015/03/4_20151213_161222_HDR-300x169.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/2015/03/1_20151213_160953_HDR-300x169.jpg""]",「銭湯っぽくない」といわれるモダンな外観。浴槽も洗い場も脱衣場も広々として、手足を伸ばしてゆっくり入れます。高性能ろ過器と自動殺菌によるきれいなお湯を、温度の異なる３つの浴槽で楽しめます。銭湯ランナーも歓迎です。インドアビューはこちら。WEB1010の紹介記事（マンガ）はこちら。最新の銭湯情報はこちら,https://kom-pal.com/
戸越銀座温泉,42,"[""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_0_5243-250x170.jpg"", ""https://www.1010.or.jp/map/wp-content/uploads/import2/eyecatch_1_5244-250x350.jpg""]",2007年４月リニューアルし、温泉銭湯になりました。趣の異なる２種類の浴室は週替わりで男女を入れ替えます。黒湯の天然温泉をお楽しみください。インドアビューはこちら。最新の銭湯情報はこちら,http://togoshiginzaonsen.com
